eis_poll_nei17,county,district,emission_quant_fy22,emission_quant_fy23,emission_quant_diff_fy23_fy22,emission_quant_perdiff_fy23_fy22
NOX,Schleicher,San Angelo,0.1578026377764218,0.16433492586684037,0.006532288090418559,4.1395303541590005
NOX,Sterling,San Angelo,0.22214137463447403,0.23117385677582558,0.00903248214135155,4.066096266944502
NOX,Angelina,Lufkin,2.341285404357165,2.4332024506079835,0.09191704625081831,3.925922319413062
NOX,Bastrop,Austin,1.260595062360232,1.308822074130847,0.04822701177061495,3.825733830840076
NOX,La Salle,Laredo,2.4081810955921905,2.4923822773262128,0.08420118173402225,3.4964638617975914
NOX,Tarrant,Fort Worth,15.772407680571689,16.306809213195802,0.5344015326241127,3.3882051709986154
NOX,Nacogdoches,Lufkin,1.8191312279813894,1.88046745751384,0.06133622953245066,3.371731988819344
NOX,Grayson,Paris,3.482851503703136,3.5988540912542826,0.11600258755114679,3.3306785381980033
NOX,Garza,Lubbock,0.3824960511314758,0.39495367418110533,0.012457623049629551,3.25692853894261
NOX,Washington,Bryan,1.040275649035845,1.0729368351293422,0.03266118609349733,3.139666503178132
NOX,Ward,Odessa,2.014178355970414,2.0763160721085665,0.062137716138152665,3.0850155823571663
NOX,Pecos,Odessa,2.0819155881784783,2.142970712236703,0.061055124058224663,2.9326416692832087
NOX,Hunt,Paris,2.898747012247866,2.980547770500451,0.08180075825258504,2.8219350604574394
NOX,San Patricio,Corpus Christi,1.642274392214691,1.6866920208871965,0.04441762867250554,2.704641129586518
NOX,Gaines,Lubbock,0.7079666407388865,0.7270620747165123,0.01909543397762581,2.6972222812216686
NOX,Polk,Lufkin,1.7584117915585733,1.8026691770411811,0.044257385482607825,2.5168953993069034
NOX,Houston,Lufkin,0.6526836680937622,0.6674129887598652,0.014729320666102996,2.2567319187136508
NOX,Shelby,Lufkin,0.8030044842047388,0.8207000341962568,0.01769554999151801,2.203667643156803
NOX,Hays,Austin,2.423061012063312,2.4757348779540815,0.05267386589076972,2.1738563589001947
NOX,Williamson,Austin,5.148595748846058,5.2574615070009285,0.1088657581548702,2.114474770703643
NOX,Lamb,Lubbock,0.38470312921510946,0.3919988050589735,0.007295675843864036,1.8964430725450656
NOX,Bailey,Lubbock,0.2003675384176924,0.2036268776568047,0.0032593392391123133,1.626680282071337
NOX,San Augustine,Lufkin,0.3303211549847306,0.3356519978303479,0.005330842845617301,1.6138363423510445
NOX,San Jacinto,Lufkin,0.8767968512064441,0.890941896480389,0.01414504527394489,1.613263694375928
NOX,Sabine,Lufkin,0.31218046857039206,0.3172160940433857,0.005035625472993632,1.6130494953940957
NOX,Trinity,Lufkin,0.41160242465933894,0.418210755986533,0.0066083313271940725,1.605513216464512
NOX,Hudspeth,El Paso,2.7009245467033067,2.7439363647963204,0.04301181809301369,1.5924849935372327
NOX,Culberson,El Paso,1.3049971617263236,1.3252491651486276,0.020252003422303932,1.55188103210228
NOX,Jeff Davis,El Paso,0.23208449744291082,0.23546416212837137,0.003379664685460554,1.4562216445723175
NOX,Uvalde,San Antonio,0.44485333023200163,0.45132753260159336,0.0064742023695917306,1.4553566152276032
NOX,Live Oak,Corpus Christi,1.4719112205234823,1.4931531653498558,0.021241944826373427,1.44315394367459
NOX,Dawson,Lubbock,0.47328310024785486,0.4795260336801442,0.0062429334322893215,1.3190695862624175
NOX,Swisher,Lubbock,0.5114402198677341,0.517896872403604,0.006456652535869911,1.2624452057250592
NOX,Travis,Austin,9.6256169196749,9.74166362050653,0.11604670083162993,1.2056027348691676
NOX,Hockley,Lubbock,0.5886619176240505,0.5950315569744228,0.006369639350372269,1.0820539191801848
NOX,Terry,Lubbock,0.45156228710545265,0.4562934347075508,0.00473114760209814,1.0477286826641665
NOX,Henderson,Tyler,1.227578813426168,1.240349707688254,0.012770894262085886,1.0403319218618938
NOX,Anderson,Tyler,0.7875206483507332,0.7953786732616639,0.007858024910930683,0.9978182702113739
NOX,Presidio,El Paso,0.1069228516400238,0.10759438114951342,0.0006715295094896212,0.628050504816738
NOX,Wilson,San Antonio,0.7952271069261642,0.7984529326805339,0.0032258257543696933,0.4056483646336778
NOX,Cherokee,Tyler,0.8113083219178017,0.8140002294731529,0.002691907555351203,0.3317983413491888
NOX,Rusk,Tyler,0.8689380336197653,0.87122044203308,0.0022824084133147293,0.26266641866357504
NOX,Dallas,Dallas,23.9162088180081,23.97394599905757,0.057737181049468234,0.24141443775149712
NOX,Hill,Waco,2.966190494187498,2.971318419785569,0.005127925598070959,0.17287917307130357
NOX,Wichita,Wichita Falls,1.8637256267941913,1.8626048818879946,-0.0011207449061967356,-0.06013465126433538
NOX,Wood,Tyler,0.7401148483568432,0.7390962464078141,-0.00101860194902903,-0.1376275521684866
NOX,Oldham,Amarillo,1.1256405100590565,1.1239255916534994,-0.0017149184055571531,-0.15235045205215475
NOX,Callahan,Abilene,1.5952681722830437,1.5898080810522457,-0.005460091230798048,-0.34226792245117765
NOX,Lamar,Paris,1.0094142871078635,1.001361628621272,-0.008052658486591424,-0.7977555488800939
NOX,Wheeler,Childress,1.1343500631850516,1.124521352588166,-0.009828710596885504,-0.8664618547548053
NOX,Collin,Dallas,6.799581061935582,6.736899971859951,-0.06268109007563094,-0.9218375294696174
NOX,Bandera,San Antonio,0.3232546932645198,0.3197932562091503,-0.0034614370553694984,-1.07080798128954
NOX,Milam,Bryan,0.7432608670265383,0.7352988056711172,-0.007962061355421102,-1.071233763089644
NOX,McMullen,San Antonio,0.1706855056578669,0.16875561006470233,-0.00192989559316456,-1.130673390060998
NOX,Harris,Houston,36.951071012430816,36.500365715282655,-0.4507052971481613,-1.2197354090130115
NOX,Bell,Waco,6.479090192991858,6.394024408832146,-0.08506578415971244,-1.3129279208325313
NOX,Mitchell,Abilene,1.184807506819496,1.1687334161797194,-0.016074090639776717,-1.3566837268718948
NOX,McLennan,Waco,5.990090180500966,5.906079732692454,-0.0840104478085113,-1.4024905348167114
NOX,Chambers,Beaumont,3.0314517312847937,2.9884285906604773,-0.04302314062431645,-1.4192256528551859
NOX,Nolan,Abilene,1.735546926352181,1.7100223120300166,-0.025524614322164352,-1.4706957175633775
NOX,Nueces,Corpus Christi,4.060435198478413,3.99894609137871,-0.06148910709970323,-1.5143477015159692
NOX,Morris,Atlanta,0.708062684750457,0.6966112383312408,-0.011451446419216138,-1.6172927434033584
NOX,Brewster,El Paso,0.15882753376639466,0.156249817385845,-0.002577716380549655,-1.6229656907856982
NOX,Denton,Dallas,6.743553675507741,6.629266768952449,-0.11428690655529206,-1.6947578688426037
NOX,Hale,Lubbock,0.9985885016057536,0.9806617497747245,-0.017926751831029097,-1.7952091178901481
NOX,Kinney,Laredo,0.19645823786937122,0.19233103888762237,-0.0041271989817488475,-2.1008021992404817
NOX,Duval,Laredo,0.4342935721960503,0.4248478498575561,-0.009445722338494222,-2.174962500764391
NOX,Walker,Bryan,2.7381229851823945,2.676610650271372,-0.06151233491102248,-2.2465146833762457
NOX,Titus,Atlanta,1.6155328042749388,1.5783671989613912,-0.03716560531354762,-2.30051690780911
NOX,Harrison,Atlanta,3.2775808928212236,3.202068553301913,-0.07551233951931069,-2.30390467813328
NOX,Fannin,Paris,0.7729435413849812,0.7533144057373922,-0.019629135647589058,-2.539530327456652
NOX,Haskell,Abilene,0.25417041978289623,0.24770976159782557,-0.006460658185070661,-2.541860768294413
NOX,Stonewall,Abilene,0.0744939245329117,0.07258196551509886,-0.0019119590178128393,-2.5665972491060374
NOX,Shackelford,Abilene,0.15496121499889273,0.15098230308560603,-0.003978911913286698,-2.5676824444846598
NOX,Borden,Abilene,0.0797590401124819,0.07768878329171403,-0.0020702568207678768,-2.5956390872410857
NOX,Fisher,Abilene,0.1916426472607848,0.18666751957849198,-0.004975127682292829,-2.5960441234788103
NOX,Kent,Abilene,0.05423055564538072,0.052818404688820854,-0.001412150956559867,-2.6039765585181716
NOX,Jones,Abilene,0.5128857150436034,0.49924193338261535,-0.013643781660988008,-2.6601991946350214
NOX,Navarro,Dallas,1.8993716498989197,1.8466872619349575,-0.05268438796396224,-2.7737798427583136
NOX,Galveston,Houston,2.0574491252548293,1.999981182153462,-0.05746794310136716,-2.7931647201361227
NOX,Rockwall,Dallas,1.3013034405912314,1.2646723690670139,-0.03663107152421752,-2.814952330224735
NOX,Crockett,San Angelo,1.1307772458672094,1.097420393593497,-0.033356852273712434,-2.94990480181891
NOX,Ellis,Dallas,4.851977879168393,4.708847574122209,-0.14313030504618407,-2.9499372958954204
NOX,Carson,Amarillo,1.1008366896362678,1.0676833706834183,-0.03315331895284945,-3.011647346510933
NOX,Rains,Paris,0.28244393481925306,0.27390710627555936,-0.008536828543693697,-3.0224860552083546
NOX,Bowie,Atlanta,3.68755822614451,3.574580200382383,-0.11297802576212668,-3.063762490884103
NOX,Zavala,Laredo,0.4141391333772847,0.4013824694628211,-0.012756663914463617,-3.080284591903604
NOX,Delta,Paris,0.14416894493781587,0.13972525464647675,-0.00444369029133912,-3.0822798164027687
NOX,Red River,Paris,0.36289520224856975,0.3515805763372204,-0.011314625911349352,-3.1178769631678
NOX,Colorado,Yoakum,2.7266932678546256,2.640944496159525,-0.08574877169510042,-3.1447897974445778
NOX,Kimble,San Angelo,1.1308814408954597,1.0950677725052318,-0.035813668390227926,-3.166880903259831
NOX,Grimes,Bryan,1.0094921049106604,0.977400434073635,-0.032091670837025466,-3.1789917604026794
NOX,Dimmit,Laredo,0.6029354357801201,0.5835683718287314,-0.019367063951388652,-3.2121289945962768
NOX,Kaufman,Dallas,3.6464116366079944,3.5273659177857324,-0.119045718822262,-3.264736148467375
NOX,Sutton,San Angelo,1.1577143674209205,1.1153563426731772,-0.042358024747743306,-3.658762985044896
NOX,Donley,Childress,0.9676437374137478,0.9310737774575796,-0.036569959956168185,-3.7792793506740283
NOX,Scurry,Abilene,0.5643489408510834,0.5414317622680503,-0.022917178583033104,-4.060817151259673
NOX,El Paso,El Paso,11.695391042501484,11.21407540060906,-0.48131564189242404,-4.1154300881715296
NOX,Robertson,Bryan,0.8187916015899919,0.7804219080043152,-0.038369693585676656,-4.6861366813200656
NOX,Austin,Yoakum,1.9146283546802982,1.8245063992317987,-0.09012195544849955,-4.707020828778439
NOX,Childress,Childress,0.780572454712429,0.7436120049823474,-0.03696044973008161,-4.735044070149545
NOX,Hardeman,Childress,0.7208866696726459,0.6867506764876219,-0.03413599318502403,-4.735278736743066
NOX,Hall,Childress,0.45972356133215236,0.43789537283003,-0.02182818850212237,-4.748111765007276
NOX,King,Childress,0.16081334433313135,0.1531775752377374,-0.007635769095393957,-4.7482185804034724
NOX,Burleson,Bryan,0.8258320286132437,0.7865041337021209,-0.03932789491112276,-4.762214778368802
NOX,Knox,Childress,0.3012259282355897,0.2868569658044799,-0.0143689624311098,-4.7701612259193675
NOX,Dickens,Childress,0.1884106376908653,0.17941390174725147,-0.008996735943613832,-4.7750679334652135
NOX,Cottle,Childress,0.12833854514509418,0.12217794489457748,-0.006160600250516707,-4.800272781300263
NOX,Motley,Childress,0.10121894903218855,0.09635959915516482,-0.00485934987702373,-4.800830203718489
NOX,Collingsworth,Childress,0.20279967316037112,0.19302298305046933,-0.009776690109901787,-4.8208608808607485
NOX,Foard,Childress,0.09394742219507055,0.08941690968835797,-0.004530512506712575,-4.822391504585948
NOX,Briscoe,Childress,0.13856802756803194,0.13188411942956135,-0.0066839081384705845,-4.823557248939713
NOX,Gonzales,Yoakum,1.9868265889763306,1.8903452354089576,-0.09648135356737297,-4.856053069889854
NOX,Howard,Abilene,1.7793063513409093,1.6916149094557924,-0.0876914418851169,-4.928406050988996
NOX,Fayette,Yoakum,2.3376226490542944,2.21855302934798,-0.11906961970631436,-5.0936202108789885
NOX,Palo Pinto,Fort Worth,1.195632267439012,1.132081854020801,-0.063550413418211,-5.315213979155396
NOX,Starr,Pharr,0.641972732683776,0.6073798793031846,-0.03459285338059137,-5.388523782930073
NOX,Gray,Amarillo,0.9411844958664242,0.8903318636771349,-0.05085263218928926,-5.403046099104721
NOX,Webb,Laredo,5.112895562153454,4.8364405783324,-0.27645498382105416,-5.4070140972059395
NOX,Madison,Bryan,1.4033889115753286,1.3246432862449893,-0.07874562533033935,-5.6111049959733545
NOX,Leon,Bryan,2.134704027644953,2.014394810692069,-0.12030921695288432,-5.635873422959331
NOX,Freestone,Bryan,2.2188229379261903,2.0923327894914783,-0.12649014843471207,-5.700777032390667
NOX,Fort Bend,Houston,4.668463160116812,4.387858996569162,-0.2806041635476504,-6.010632491327815
NOX,Montgomery,Houston,5.849534583910901,5.443733750513155,-0.40580083339774653,-6.937318304158737
NOX,Orange,Beaumont,2.1338435839033765,1.985205458920389,-0.14863812498298756,-6.96574604175477
NOX,Coleman,Brownwood,0.3427866153304951,0.3183013994512802,-0.024485215879214872,-7.142990649039093
NOX,Maverick,Laredo,0.893872600662428,0.8299518310345035,-0.06392076962792448,-7.150993282549917
NOX,Mills,Brownwood,0.20713341515761374,0.19222014036756715,-0.014913274790046588,-7.19984015070608
NOX,Comanche,Brownwood,0.39463239444244463,0.36595276530426424,-0.028679629138180396,-7.267429015476627
NOX,Armstrong,Amarillo,0.5607533665839404,0.5199682775463347,-0.04078508903760569,-7.27326690628089
NOX,Cooke,Wichita Falls,1.9727788795884968,1.8289627468210798,-0.143816132767417,-7.290028003412917
NOX,Sherman,Amarillo,0.44335113103183377,0.41079155540266343,-0.032559575629170334,-7.343970354466621
NOX,Val Verde,Laredo,0.6365258680412149,0.5896336088679413,-0.046892259173273665,-7.366905498683897
NOX,San Saba,Brownwood,0.1979818863463097,0.18336100972443006,-0.014620876621879636,-7.384956720891533
NOX,Hemphill,Amarillo,0.21558876214476214,0.19963758768824122,-0.015951174456520917,-7.398889579323308
NOX,Roberts,Amarillo,0.1288339085112232,0.11929379209006113,-0.009540116421162065,-7.40497321815785
NOX,Hansford,Amarillo,0.24904899248832504,0.2304003124006914,-0.01864868008763365,-7.487956446363808
NOX,Lipscomb,Amarillo,0.1712815662671438,0.15843635107329793,-0.012845215193845877,-7.4994732204932655
NOX,Hartley,Amarillo,0.6911447432549291,0.6374406811880236,-0.05370406206690559,-7.7703060887054765
NOX,McCulloch,Brownwood,0.26174650446578934,0.24133389559269508,-0.020412608873094262,-7.798617565019754
NOX,Liberty,Beaumont,1.439830728382708,1.3259285621256633,-0.11390216625704475,-7.910802569478811
NOX,Parker,Fort Worth,3.7267999122359488,3.4287146642373836,-0.2980852479985652,-7.998423715206232
NOX,Stephens,Brownwood,0.20510778252608955,0.18800151926587447,-0.017106263260215082,-8.34013368461003
NOX,Lampasas,Brownwood,0.5901263434128939,0.5407233927625392,-0.049402950650354716,-8.37158876260993
NOX,Lavaca,Yoakum,0.7508321924738626,0.6872843664767473,-0.06354782599711528,-8.4636522826407
NOX,Brazoria,Houston,3.7492907672095157,3.4316739371093266,-0.31761683010018915,-8.471384318282196
NOX,Brown,Brownwood,0.7285296940684449,0.664672254633737,-0.0638574394347079,-8.765248685760298
NOX,Dallam,Amarillo,0.6726002388699339,0.612981399735818,-0.05961883913411592,-8.863933684335919
NOX,Moore,Amarillo,0.8806056175186928,0.8004237332098079,-0.08018188430888495,-9.105311471304907
NOX,Jackson,Yoakum,1.0763219547977934,0.9776637203401923,-0.09865823445760102,-9.166238226194668
NOX,DeWitt,Yoakum,0.8630780762569945,0.783579176262532,-0.07949889999446247,-9.211090187719064
NOX,Taylor,Abilene,3.3864686182694066,3.066774491568337,-0.3196941267010698,-9.440339265994547
NOX,Johnson,Fort Worth,3.5664006120310288,3.2120919464763826,-0.35430866555464613,-9.93462889052363
NOX,Deaf Smith,Amarillo,0.692548360373785,0.6237086904037237,-0.0688396699700613,-9.940052407734656
NOX,Wharton,Yoakum,2.015204930905836,1.8140045204730713,-0.20120041043276493,-9.984116619957117
NOX,Calhoun,Yoakum,0.7211700454793493,0.6491275506723087,-0.07204249480704061,-9.98966821467955
NOX,Ochiltree,Amarillo,0.4394266551290602,0.39532065238635156,-0.04410600274270865,-10.03717053298796
NOX,Waller,Houston,1.7652571457940531,1.5852982454026998,-0.17995890039135332,-10.19448644182679
NOX,Matagorda,Yoakum,1.202120681462955,1.0782718441196528,-0.12384883734330221,-10.302529459237057
NOX,Jefferson,Beaumont,3.693097246740392,3.30564193636733,-0.387455310373062,-10.491337879473347
NOX,Jasper,Beaumont,0.6666505706233226,0.5951466279700629,-0.07150394265325966,-10.725850363617482
NOX,Marion,Atlanta,0.3050721795335124,0.2721061740004572,-0.032966005533055176,-10.805969126212585
NOX,Camp,Atlanta,0.29864434466878587,0.2662373049112454,-0.032407039757540446,-10.851382367036535
NOX,Willacy,Pharr,0.4652129775520529,0.41440435383573576,-0.050808623716317114,-10.921583482832252
NOX,Hardin,Beaumont,0.7871286938050306,0.6986664036040989,-0.08846229020093166,-11.238605693981155
NOX,Hutchinson,Amarillo,0.5599416753571451,0.4967813658555334,-0.06316030950161172,-11.279801500991415
NOX,Tyler,Beaumont,0.3332698941818762,0.29561810232779173,-0.03765179185408446,-11.297687703389329
NOX,Cass,Atlanta,0.8570964837907449,0.7588440777882722,-0.09825240600247265,-11.463400896002321
NOX,Panola,Atlanta,0.923131788965731,0.8172580762466032,-0.10587371271912782,-11.468970518039232
NOX,Newton,Beaumont,0.27758047187828166,0.24570515294498702,-0.03187531893329465,-11.483271397878413
NOX,Erath,Fort Worth,0.9854881073762503,0.871294651832558,-0.1141934555436922,-11.587502141220076
NOX,Upshur,Atlanta,1.085690104468569,0.9595417366853427,-0.12614836778322625,-11.619187396478502
NOX,Lubbock,Lubbock,4.340854748279563,3.795229155407006,-0.5456255928725571,-12.569542740143705
NOX,Victoria,Yoakum,3.6399357932483416,3.1647151037907264,-0.4752206894576152,-13.05574373974108
NOX,Randall,Amarillo,3.222776522806453,2.800488566264242,-0.4222879565422111,-13.10323423153384
NOX,Zapata,Pharr,0.2767585355479402,0.24003011800516227,-0.03672841754277795,-13.270924949093697
NOX,Wise,Fort Worth,1.8876392224913838,1.630509958917052,-0.25712926357433186,-13.621737698105367
NOX,Potter,Amarillo,3.9006708735241333,3.3532880978488846,-0.5473827756752487,-14.033041838792865
NOX,Wilbarger,Wichita Falls,0.7320611768649549,0.6292527153112641,-0.10280846155369072,-14.043698095556303
NOX,Hood,Fort Worth,0.8387385788541469,0.7168904672069356,-0.12184811164721132,-14.527543470538296
NOX,Montague,Wichita Falls,0.979669694393581,0.8373319423030463,-0.14233775209053467,-14.529157419597658
NOX,Clay,Wichita Falls,1.0757709484831084,0.9162746785790687,-0.15949626990403964,-14.826229517439327
NOX,Young,Wichita Falls,0.4810535424768848,0.4053773698154221,-0.0756761726614627,-15.731340896444815
NOX,Kenedy,Pharr,0.43791296833277354,0.36678843877104444,-0.0711245295617291,-16.241704335113685
NOX,Brooks,Pharr,0.6819597544700466,0.5696439381276018,-0.11231581634244481,-16.469566657892567
NOX,Baylor,Wichita Falls,0.3284968188945614,0.27405677452522187,-0.054440044369339524,-16.57247231572532
NOX,Archer,Wichita Falls,0.5428851090273,0.45211031107237676,-0.09077479795492327,-16.72081190761828
NOX,Jim Hogg,Pharr,0.16299544630763532,0.13560019153909736,-0.027395254768537963,-16.807374309606505
NOX,Throckmorton,Wichita Falls,0.09978838381760458,0.0828542337870994,-0.016934150030505177,-16.970061426646406
NOX,Jack,Fort Worth,0.2410713257090008,0.2001183236404293,-0.0409530020685715,-16.9879192177365
NOX,Somervell,Fort Worth,0.2254093767342513,0.1870763410843427,-0.03833303564990859,-17.0059631969533
